,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018,KMYF 07/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,62,75,62,77,58,2011,90,2006,0.00,0.00,T,2006,
3,2,63,78,62,77,59,2010,88,2006,0.00,0.01,0.00,2006,
4,3,64,75,62,77,58,1999,90,2003,0.00,0.00,0.00,2006,
5,4,64,79,62,77,59,2010,86,2003,0.00,0.00,0.00,2006,
6,5,63,84,63,78,60,2010,86,2014,0.00,0.00,T,2015,
7,6,67,105,63,78,60,2010,105,2018,0.00,0.01,T,2015,
8,7,73,96,63,78,58,2010,96,2018,0.00,0.00,T,2015,
9,8,72,92,63,78,60,2012,92,2018,0.00,0.00,0.00,2006,
10,9,71,88,63,78,60,2012,88,2018,T,0.00,T,2017,
11,10,69,82,63,78,60,2010,86,2017,0.00,0.00,T,2013,
12,11,68,81,63,79,61,2015,88,2009,0.00,0.00,T,2013,
13,12,69,80,63,79,61,2011,92,2009,0.00,0.00,T,2012,
14,13,69,83,64,79,60,1998,93,2009,0.00,0.01,0.00,2006,
15,14,68,82,64,79,60,1998,92,2006,0.00,0.00,T,2014,
16,15,66,81,64,79,59,1998,96,2006,0.00,0.00,T,2010,
17,16,66,80,64,79,59,1998,97,2010,0.00,0.00,0.01,2003,
18,17,67,82,64,79,58,2001,91,2009,0.00,0.00,0.00,2006,
19,18,66,79,64,79,60,2001,93,2009,0.00,0.01,1.42,2015,
20,19,67,82,64,79,61,2001,89,2009,0.00,0.00,1.03,2015,
21,20,68,78,64,79,60,2002,93,2016,0.00,0.00,0.00,2006,
22,21,70,82,64,79,61,2008,94,2016,0.00,0.00,T,2013,
23,22,69,86,64,80,60,2010,106,2006,0.00,0.00,0.00,2006,
24,23,69,93,64,80,61,2001,93,2018,0.00,0.00,0.00,2006,
25,24,69,88,64,80,61,2001,98,2006,0.00,0.01,T,2010,
26,25,69,84,64,80,62,2010,88,2015,0.00,0.00,T,2014,
27,26,68,81,65,80,62,2011,91,2006,0.00,0.00,T,2013,
28,27,68,94,65,80,61,2010,94,2018,0.00,0.00,0.05,2014,
29,28,69,81,65,80,60,2010,90,2014,0.00,0.00,T,2006,
30,29,70,89,65,80,58,2002,91,2014,0.00,0.01,0.02,2006,
31,30,72,88,65,80,61,1999,88,2018,0.00,0.00,0.01,2003,
32,31,71,88,65,80,61,2010,90,2000,0.00,0.00,0.24,2006,
33,Average:,67.9,84.4,63.7,78.9,,,,,Total: 0.00,Total: 0.06,,,
