,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015,KMYF 10/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,67,84,60,77,54,2002,95,2008,0.00,0.00,0.09,2002,
3,2,64,79,60,77,51,2002,97,2014,0.00,0.01,T,2009,
4,3,63,78,60,77,51,2002,96,2014,0.00,0.00,0.00,2006,
5,4,63,72,59,77,52,2002,94,2014,0.41,0.01,0.41,2015,
6,5,61,69,59,77,50,2009,92,2014,0.27,0.01,0.61,2011,
7,6,59,75,59,77,51,2009,94,2005,0.00,0.02,T,2006,
8,7,62,79,59,77,50,2011,95,2008,0.00,0.02,T,2006,
9,8,63,85,59,77,51,2011,97,2008,0.00,0.01,0.00,2006,
10,9,66,101,58,76,50,1998,101,2015,0.00,0.02,T,2007,
11,10,73,99,58,76,52,2013,99,2015,0.00,0.02,T,2005,
12,11,70,98,58,76,50,2013,98,2015,0.00,0.01,0.15,2012,
13,12,73,94,58,76,47,2008,97,2011,T,0.02,T,2009,
14,13,73,88,58,76,47,2008,95,2011,0.00,0.03,0.18,2007,
15,14,72,87,57,76,50,2013,94,2005,0.00,0.03,0.89,2006,
16,15,71,79,57,76,54,2013,89,2008,T,0.03,T,2006,
17,16,69,73,57,76,54,2008,92,2009,T,0.03,0.04,2005,
18,17,70,79,57,76,50,1998,98,2012,T,0.03,0.29,2005,
19,18,68,77,56,76,48,1998,84,2003,0.00,0.03,0.35,2004,
20,19,62,72,56,75,51,1998,89,1999,T,0.03,1.06,2010,
21,20,60,76,56,75,50,2013,94,1999,0.00,0.03,0.97,2004,
22,21,60,78,56,75,51,2013,95,2003,0.00,0.03,0.22,2012,
23,22,60,78,55,75,52,2004,94,2008,0.00,0.03,0.01,2006,
24,23,61,82,55,75,51,2004,91,2008,0.00,0.03,0.02,2010,
25,24,60,89,55,75,53,2012,94,2007,0.00,0.03,T,2006,
26,25,63,82,55,75,51,2012,87,2007,0.00,0.03,0.10,2010,
27,26,60,85,54,75,50,2012,90,2006,0.00,0.04,0.03,2002,
28,27,58,86,54,75,49,2011,91,2008,0.00,0.03,2.71,2004,
29,28,61,80,54,74,47,2011,90,2008,0.00,0.04,0.12,2004,
30,29,61,79,54,74,43,2009,88,2008,0.01,0.03,0.17,2013,
31,30,55,85,53,74,47,2009,88,1999,0.00,0.04,0.16,2010,
32,31,57,89,53,74,49,2013,89,2015,T,0.04,T,2015,
33,Average:,64.0,82.5,56.7,75.7,,,,,Total: 0.69,Total: 0.76,,,
