,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011,KRNM 12/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,38,60,36,66,21,2004,84,2008,0.02,0.04,1.08,2007,
3,2,36,61,36,66,24,2004,81,1977,0.00,0.06,0.31,1998,
4,3,31,60,35,66,28,2003,84,1981,0.00,0.05,0.69,1985,
5,4,23,60,35,66,23,2011,94,1979,0.00,0.06,1.77,1974,
6,5,20,60,35,65,20,2011,90,1979,0.00,0.05,0.85,1987,
7,6,32,63,35,65,24,2006,87,1979,0.00,0.06,0.59,1997,
8,7,25,69,35,65,22,1978,85,1981,0.00,0.06,2.07,2009,
9,8,23,66,35,65,23,2011,87,1975,0.00,0.05,0.75,1997,
10,9,24,71,35,65,24,2011,85,1975,0.00,0.06,0.22,1996,
11,10,27,69,34,65,27,2011,81,2004,0.00,0.05,0.72,1996,
12,11,24,58,34,65,24,2011,81,2010,0.00,0.05,0.97,1984,
13,12,36,49,34,65,27,1985,86,2010,0.47,0.04,0.62,2009,
14,13,36,49,34,64,27,2007,82,2010,0.07,0.05,0.67,2009,
15,14,32,58,34,64,27,2007,81,2004,0.00,0.05,0.21,2001,
16,15,27,58,34,64,26,2003,82,1980,T,0.06,1.68,2008,
17,16,29,57,34,64,29,2011,83,1980,0.00,0.07,0.58,1984,
18,17,39,64,34,64,26,1995,83,1999,T,0.06,2.24,2008,
19,18,35,54,34,64,26,2006,80,2003,0.02,0.07,1.05,1978,
20,19,37,55,34,64,23,2006,83,1999,0.00,0.06,0.75,1978,
21,20,34,64,34,64,23,2006,83,2005,0.00,0.07,1.96,2010,
22,21,28,63,34,64,25,2006,84,2005,0.00,0.07,1.84,2010,
23,22,32,62,34,65,27,1993,78,1980,0.00,0.07,3.40,2010,
24,23,30,67,34,65,24,2006,79,1989,0.00,0.07,1.56,1982,
25,24,25,72,34,65,25,2011,85,2005,0.00,0.08,0.17,1994,
26,25,29,74,34,65,22,1987,83,1980,0.00,0.08,1.33,1983,
27,26,26,74,34,65,24,1987,82,1985,0.00,0.10,1.01,1977,
28,27,25,71,34,65,24,2003,82,1980,0.00,0.11,1.16,1984,
29,28,25,80,34,65,25,2011,81,1980,0.00,0.13,1.58,2004,
30,29,27,77,34,65,25,2003,86,1980,0.00,0.14,1.10,2004,
31,30,32,76,34,65,25,2006,83,1980,0.00,0.13,0.52,1991,
32,31,32,82,34,65,24,2006,82,2011,0.00,0.13,0.89,1976,
33,Average:,29.6,64.6,34.4,64.8,,,,,Total: 0.58,Total: 2.23,,,
