,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010,KSAN 05/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,64,58,69,47,1932,81,2004,0.00,0.01,,undefined,
3,2,58,65,58,69,45,1883,93,2004,0.00,0.01,,undefined,
4,3,56,72,58,69,45,1915,93,2004,0.00,0.01,,undefined,
5,4,58,69,59,69,47,1930,90,1953,0.00,0.01,,undefined,
6,5,58,65,59,69,46,1910,96,1953,0.00,0.01,,undefined,
7,6,59,67,59,69,47,1892,87,1990,0.00,0.01,,undefined,
8,7,58,70,59,69,49,1964,85,1941,0.00,0.01,,undefined,
9,8,61,73,59,69,49,1965,86,2007,0.00,0.01,,undefined,
10,9,58,64,59,69,47,1908,87,1984,0.00,0.01,,undefined,
11,10,58,66,59,69,48,1933,85,1943,0.00,0.01,,undefined,
12,11,56,64,59,69,47,1879,83,1996,0.00,0.01,,undefined,
13,12,52,69,59,69,46,1890,88,1979,0.00,0.01,,undefined,
14,13,58,67,60,69,48,1908,94,1979,0.00,0.01,,undefined,
15,14,58,65,60,69,46,1880,87,1956,0.00,0.01,,undefined,
16,15,59,67,60,69,46,1880,91,1956,0.00,0.01,,undefined,
17,16,58,62,60,69,45,1894,92,1956,0.00,0.01,,undefined,
18,17,57,64,60,69,48,1894,94,1956,0.00,0.01,,undefined,
19,18,58,69,60,69,48,1880,87,1892,-0.88,0.01,,undefined,
20,19,59,67,60,69,49,1894,87,1943,-0.88,0.01,,undefined,
21,20,58,71,60,69,48,1896,89,1883,0.00,0.01,,undefined,
22,21,59,66,60,69,49,1948,85,1941,0.00,0.00,,undefined,
23,22,57,64,60,69,48,1878,88,1893,0.00,0.00,,undefined,
24,23,55,62,61,70,48,1879,82,1932,0.00,0.00,,undefined,
25,24,53,65,61,70,48,1879,95,1896,0.00,0.00,,undefined,
26,25,56,66,61,70,49,1879,98,1896,0.00,0.00,,undefined,
27,26,60,67,61,70,50,1916,87,1896,0.00,0.00,,undefined,
28,27,60,68,61,70,50,1917,84,1915,0.01,0.00,,undefined,
29,28,59,67,61,70,52,1893,86,1997,0.00,0.00,,undefined,
30,29,56,70,61,70,52,1895,88,1978,0.00,0.00,,undefined,
31,30,59,67,61,70,50,1878,88,1879,0.00,0.00,,undefined,
32,31,60,66,61,70,52,1906,94,1879,0.00,0.00,,undefined,
33,Average:,57.6,66.7,59.8,69.3,,,,,Total: -1.75,Total: 0.20,,,
