,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019,KRNM 08/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,56,95,58,89,45,1975,100,1980,0.00,0.01,0.17,2017,
3,2,57,96,58,90,48,1975,101,1975,0.00,0.00,0.16,2000,
4,3,57,96,58,90,48,1981,102,1998,0.00,0.01,0.17,2014,
5,4,57,96,58,90,46,1976,101,1998,0.00,0.01,0.01,2001,
6,5,55,97,58,90,42,2011,107,1997,0.00,0.01,0.00,2018,
7,6,60,97,58,90,46,1976,105,1983,0.00,0.00,T,1983,
8,7,59,91,58,90,45,1976,101,2018,0.00,0.01,0.35,1983,
9,8,55,90,58,90,44,1993,101,2012,0.00,0.00,T,2011,
10,9,50,92,58,90,42,2010,103,2018,0.00,0.00,0.69,1998,
11,10,49,88,58,90,44,1976,101,2012,0.00,0.00,0.15,1990,
12,11,50,87,58,90,44,1976,102,2000,0.00,0.00,0.00,2018,
13,12,50,87,58,90,44,2010,102,1994,0.00,0.00,0.01,2010,
14,13,53,95,58,90,45,1976,103,1996,0.00,0.01,0.05,1979,
15,14,55,100,58,90,44,1975,103,1996,0.00,0.00,0.09,1987,
16,15,54,99,58,90,43,1999,103,2015,0.00,0.00,0.38,1977,
17,16,49,92,58,91,41,1975,104,2016,0.00,0.01,0.65,1983,
18,17,54,87,58,91,44,1974,102,2016,0.00,0.00,1.53,1977,
19,18,54,87,58,91,42,1974,98,2007,0.00,0.00,0.32,1983,
20,19,54,90,58,91,42,1975,99,2007,0.00,0.01,0.11,1983,
21,20,50,93,58,91,46,2008,100,1982,0.00,0.00,0.10,2003,
22,21,51,98,58,91,49,1993,102,1982,0.00,0.00,0.01,2005,
23,22,48,90,58,91,43,1978,101,1982,0.00,0.01,0.08,2012,
24,23,57,87,58,91,38,1978,103,1996,0.00,0.00,0.01,2006,
25,24,55,94,58,91,42,1978,102,1985,0.00,0.01,0.02,2005,
26,25,63,96,57,91,42,1978,107,1985,0.00,0.01,0.01,2005,
27,26,65,96,57,91,44,1978,103,2010,0.00,0.01,0.05,2007,
28,27,61,94,57,91,43,1978,105,2009,0.00,0.00,0.02,1994,
29,28,58,88,57,91,41,1974,105,2017,0.00,0.01,0.02,2006,
30,29,57,92,57,91,41,1974,108,2017,0.00,0.01,0.03,2000,
31,30,60,96,57,91,44,1974,105,2017,0.00,0.00,0.02,2008,
32,31,56,99,57,90,44,2005,111,2017,0.00,0.01,0.01,2006,
33,Average:,55.1,93.1,57.8,90.5,,,,,Total: 0.00,Total: 0.15,,,
