,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021,KSAN 09/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,70,77,67,78,58,1881,104,1955,0.00,0.00,0.02,1909,
3,2,71,78,67,78,56,1898,99,1955,0.00,0.00,T,1967,
4,3,68,76,67,78,58,1916,92,1998,0.00,0.01,0.07,1884,
5,4,67,83,67,78,55,1899,107,1988,0.00,0.00,0.86,1963,
6,5,67,79,67,78,54,1912,97,1988,0.00,0.00,0.53,1939,
7,6,70,77,67,78,56,1942,100,2020,0.00,0.00,0.59,1939,
8,7,71,81,67,78,55,1911,92,1949,0.00,0.01,0.37,1957,
9,8,71,82,67,78,55,1893,100,1984,0.00,0.00,0.16,1982,
10,9,70,85,67,78,54,1911,96,1956,0.00,0.00,0.09,1976,
11,10,71,81,67,78,55,1876,96,2015,0.00,0.00,0.87,1976,
12,11,70,85,67,78,56,1924,102,1959,0.00,0.01,0.10,1854,
13,12,69,80,67,78,54,1884,97,1878,0.00,0.00,0.24,1939,
14,13,66,76,67,78,55,1909,92,1971,0.00,0.01,0.40,1863,
15,14,66,77,67,78,53,1894,92,1879,0.00,0.00,0.29,1875,
16,15,67,76,66,77,52,1884,101,2012,0.00,0.00,1.21,2015,
17,16,66,75,66,77,51,1884,100,1909,0.00,0.01,0.24,1978,
18,17,67,75,66,77,53,1908,110,1913,0.00,0.00,0.48,1963,
19,18,67,75,66,77,50,1882,95,1939,0.00,0.00,0.41,1963,
20,19,64,75,66,77,50,1882,97,1939,0.00,0.01,0.15,1989,
21,20,62,76,66,77,53,1893,100,1939,0.00,0.00,0.24,1991,
22,21,65,84,66,77,53,1997,106,1939,0.00,0.01,0.16,2016,
23,22,69,86,66,77,53,1944,102,1939,0.00,0.00,0.70,1987,
24,23,66,77,66,77,52,1941,103,1975,0.00,0.01,0.14,1958,
25,24,66,76,65,77,52,1881,99,1978,0.50,0.00,0.50,2021,
26,25,67,74,65,76,52,1920,101,1978,T,0.01,0.90,1986,
27,26,67,70,65,76,50,1907,111,1963,T,0.00,0.13,1919,
28,27,66,70,65,76,52,1908,104,1963,T,0.01,0.15,1890,
29,28,67,72,65,76,53,1880,99,1963,0.00,0.01,0.16,1905,
30,29,66,75,65,76,50,1880,91,1918,0.00,0.00,0.37,1890,
31,30,60,77,64,76,51,1880,96,2020,0.00,0.01,1.23,1921,
32,Average:,67.3,77.7,66.2,77.3,,,,,Total: 0.50,Total: 0.12,,,
