,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018,KRNM 10/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,89,51,83,41,2013,105,1980,0.00,0.00,0.69,1992,
3,2,58,81,51,82,41,2002,100,2012,0.00,0.00,0.01,1983,
4,3,60,80,50,82,40,2002,99,1975,0.00,0.01,0.01,2005,
5,4,61,75,50,82,37,2005,100,1987,0.16,0.00,0.29,2015,
6,5,56,76,50,82,39,1974,97,1975,0.00,0.02,0.42,2011,
7,6,51,71,50,81,35,1974,98,2017,0.00,0.02,0.32,1983,
8,7,55,74,50,81,38,2011,101,1996,0.00,0.02,0.07,1975,
9,8,49,77,49,81,35,1975,99,2008,0.00,0.02,0.03,1985,
10,9,48,77,49,81,35,1975,99,1996,0.00,0.02,1.07,2013,
11,10,50,73,49,80,32,1974,96,1999,0.00,0.02,0.24,2000,
12,11,50,73,49,80,36,1974,97,2015,0.00,0.03,0.76,1987,
13,12,44,83,49,80,34,2008,101,2011,0.79,0.02,0.79,2018,
14,13,53,64,48,80,36,1975,103,1978,0.04,0.02,0.68,1987,
15,14,52,73,48,80,36,1981,96,1978,0.00,0.03,0.04,2006,
16,15,42,78,48,79,40,2000,102,1974,0.00,0.03,0.08,1980,
17,16,40,80,48,79,38,1981,99,2017,0.00,0.02,0.46,2005,
18,17,43,82,48,79,38,1994,98,2012,0.00,0.03,0.38,2005,
19,18,44,84,47,79,35,1998,99,2003,0.00,0.03,0.70,2004,
20,19,44,86,47,79,38,1998,95,2003,0.00,0.02,2.11,2010,
21,20,44,88,47,78,37,2013,98,2003,0.00,0.03,1.50,2004,
22,21,45,82,47,78,37,2013,100,2003,0.00,0.03,0.18,2004,
23,22,41,78,46,78,36,2013,98,2003,0.00,0.03,0.10,1997,
24,23,50,77,46,78,33,1996,101,2017,0.00,0.02,0.38,1992,
25,24,47,82,46,78,36,1996,100,2017,0.00,0.03,0.16,2016,
26,25,45,84,46,77,33,1975,99,2017,0.00,0.03,0.14,1998,
27,26,46,90,46,77,37,1975,93,2017,0.00,0.03,0.27,1982,
28,27,47,92,45,77,34,1996,94,2008,0.00,0.03,1.84,2004,
29,28,48,87,45,77,32,2011,97,2008,0.00,0.03,0.77,1974,
30,29,48,85,45,77,31,2009,93,2008,0.00,0.04,0.76,1974,
31,30,49,75,45,76,31,1979,88,2011,0.00,0.03,0.90,1996,
32,31,43,82,44,76,32,1979,90,1988,0.00,0.03,0.50,1987,
33,Average:,48.9,79.9,47.7,79.3,,,,,Total: 0.99,Total: 0.72,,,
