,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019,KSDM 10/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,52,73,58,77,52,2019,98,2008,0.00,0.00,0.22,1959,
3,2,48,75,58,77,48,2019,98,2014,0.00,0.00,0.00,2006,
4,3,52,76,58,77,52,2019,97,2014,0.00,0.01,0.00,2006,
5,4,49,78,58,77,49,2019,96,2014,0.00,0.00,0.13,2015,
6,5,50,79,58,77,49,1957,93,1960,0.00,0.01,0.62,2015,
7,6,52,85,58,76,49,2009,94,1998,0.00,0.02,0.02,2010,
8,7,54,85,57,76,48,2007,96,2008,0.00,0.01,T,2014,
9,8,54,80,57,76,46,2011,98,2008,0.00,0.02,0.02,1960,
10,9,58,74,57,76,49,2011,102,2015,0.00,0.01,0.10,2013,
11,10,54,74,57,76,50,2017,97,2015,0.00,0.01,0.00,2006,
12,11,51,89,57,76,48,2013,94,2015,0.00,0.02,0.37,1957,
13,12,48,75,56,76,46,2008,97,2015,0.00,0.01,0.09,2018,
14,13,54,73,56,76,49,2008,95,2011,0.00,0.02,0.36,2006,
15,14,57,72,56,76,45,2013,89,1959,0.00,0.02,0.65,2006,
16,15,50,77,56,76,46,1960,98,2017,0.00,0.02,0.01,2006,
17,16,55,79,55,76,50,2018,102,1958,0.00,0.01,0.08,2015,
18,17,59,77,55,75,52,2013,98,1958,0.00,0.02,0.52,2004,
19,18,56,74,55,75,48,2013,92,1958,0.00,0.02,0.11,2005,
20,19,52,79,55,75,50,2006,90,1999,0.00,0.02,1.43,2010,
21,20,47,77,54,75,47,2019,97,1999,0.00,0.02,1.21,2004,
22,21,55,91,54,75,49,2006,92,1999,0.00,0.02,0.28,1957,
23,22,59,97,54,75,48,1957,97,2019,0.00,0.01,0.03,2010,
24,23,57,90,53,75,50,1957,99,2017,0.00,0.02,0.06,1958,
25,24,59,98,53,75,49,1956,103,2017,0.00,0.02,0.02,1958,
26,25,65,90,53,75,47,1956,102,2017,0.00,0.02,0.15,2010,
27,26,54,90,52,75,46,1956,92,2017,0.00,0.02,T,2011,
28,27,53,73,52,75,47,2011,90,2008,T,0.02,1.56,2004,
29,28,48,79,52,74,45,2011,89,2008,0.00,0.02,0.24,1956,
30,29,47,70,51,74,42,2009,86,2008,0.00,0.03,0.27,2013,
31,30,49,79,51,74,44,1956,93,1999,0.00,0.02,0.65,1957,
32,31,49,81,51,74,46,2013,89,2015,0.00,0.02,0.01,1957,
33,Average:,53.1,80.3,55.1,75.5,,,,,Total: 0.00,Total: 0.49,,,
