,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020,KRNM 05/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,78,45,73,33,2011,92,2015,0.00,0.03,0.26,1978,
3,2,47,79,45,73,35,2011,98,2004,0.00,0.02,0.20,1980,
4,3,48,77,45,73,37,2002,100,2004,0.00,0.03,0.88,2003,
5,4,44,80,45,74,38,2002,94,2004,0.00,0.02,0.11,1982,
6,5,49,90,46,74,35,1999,94,2018,0.00,0.03,0.41,1998,
7,6,46,92,46,74,33,1975,96,1990,0.00,0.02,0.58,1998,
8,7,45,92,46,74,32,1975,92,2020,0.00,0.01,0.91,2017,
9,8,47,84,46,74,36,1975,93,1984,0.00,0.02,0.66,2015,
10,9,53,80,46,74,36,1983,95,1984,0.03,0.01,1.77,1977,
11,10,58,77,47,75,33,2003,91,1981,0.00,0.02,0.25,1980,
12,11,52,77,47,75,35,2005,95,1996,0.00,0.01,0.23,1980,
13,12,45,72,47,75,35,2010,98,2013,0.02,0.02,0.08,1998,
14,13,47,71,47,75,36,1983,100,2013,0.01,0.00,1.16,1998,
15,14,44,75,47,75,40,2000,97,1979,0.00,0.01,0.18,2015,
16,15,53,78,47,75,40,2012,100,2014,0.00,0.01,0.45,2015,
17,16,48,81,48,75,35,2011,97,2008,0.00,0.01,0.10,2019,
18,17,49,79,48,76,39,1981,97,2008,0.00,0.01,0.10,2011,
19,18,55,73,48,76,35,1977,97,2008,0.06,0.00,0.26,2011,
20,19,44,68,48,76,37,1977,95,2008,0.01,0.00,0.27,2019,
21,20,40,74,48,76,30,1974,94,2017,0.00,0.01,0.17,2019,
22,21,40,84,48,76,29,1974,92,2005,0.00,0.00,0.02,1975,
23,22,42,77,48,77,36,2002,91,2005,0.00,0.00,0.37,2006,
24,23,51,74,49,77,38,1975,94,2001,0.00,0.00,0.36,2008,
25,24,45,81,49,77,37,2010,87,1979,0.00,0.00,0.42,1996,
26,25,46,86,49,77,36,1984,101,1974,0.00,0.00,0.06,2000,
27,26,50,89,49,77,36,1980,98,1974,0.00,0.00,0.16,2019,
28,27,52,92,49,77,35,1984,92,2020,0.00,0.01,0.40,1981,
29,28,55,83,49,78,41,2019,99,1978,0.00,0.00,0.47,1990,
30,29,58,76,49,78,41,2010,102,1984,0.00,0.00,0.18,1988,
31,30,50,77,49,78,35,2011,107,1984,0.00,0.00,0.01,2009,
32,31,51,82,49,78,40,2011,93,1984,0.00,0.00,0.00,2018,
33,Average:,48.5,79.9,47.4,75.5,,,,,Total: 0.13,Total: 0.30,,,
