,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018,KSAN 08/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,74,86,67,76,60,1944,90,1972,0.00,0.00,0.01,1991,
3,2,74,85,67,76,59,1944,85,2018,0.00,0.00,0.40,1852,
4,3,74,85,67,76,57,1888,85,2018,0.00,0.00,0.01,2006,
5,4,73,84,67,76,59,1880,86,1971,0.00,0.00,0.02,1961,
6,5,72,85,67,76,56,1912,88,1961,0.00,0.00,0.05,1926,
7,6,72,86,67,76,56,1912,89,1884,0.00,0.01,0.02,1983,
8,7,73,91,67,76,55,1894,91,2018,0.00,0.00,0.15,1983,
9,8,76,89,67,76,58,1944,94,1936,0.00,0.00,0.25,1936,
10,9,77,90,67,76,59,1916,90,2018,0.00,0.00,0.64,1908,
11,10,78,88,67,76,58,1894,88,2018,0.00,0.00,0.03,1945,
12,11,77,88,67,76,58,1894,88,2018,0.00,0.00,0.15,1873,
13,12,75,85,67,76,57,1894,94,1991,0.00,0.00,1.80,1873,
14,13,73,83,67,76,57,1892,93,1994,0.00,0.00,0.05,1992,
15,14,73,82,67,76,57,1892,90,1994,0.00,0.00,0.17,1983,
16,15,73,79,67,76,58,1880,92,1884,0.00,0.00,0.07,1918,
17,16,73,81,67,77,59,1881,88,1983,0.02,0.00,1.44,1977,
18,17,73,82,67,77,58,1932,88,1992,0.00,0.00,0.69,1977,
19,18,73,83,67,77,59,1932,90,1986,0.00,0.00,0.83,1945,
20,19,73,82,67,77,54,1884,88,1986,0.00,0.00,0.01,1933,
21,20,73,79,67,77,58,1912,89,1897,0.00,0.00,0.08,1906,
22,21,72,81,67,77,58,1916,89,1982,0.00,0.00,1.35,1854,
23,22,73,83,67,77,59,1916,90,1972,0.00,0.00,T,2009,
24,23,73,83,67,77,55,1878,89,1968,0.00,0.00,0.07,1853,
25,24,72,79,67,77,58,1899,85,1985,0.00,0.01,0.13,1885,
26,25,72,80,67,77,57,1906,89,1985,0.00,0.00,0.18,1935,
27,26,70,80,67,77,58,1890,92,1981,0.00,0.00,0.01,1994,
28,27,71,79,67,77,58,1881,91,1915,0.00,0.00,0.04,1894,
29,28,70,80,67,77,54,1887,91,2009,0.00,0.00,0.76,1951,
30,29,70,82,67,77,54,1895,88,2009,0.00,0.00,0.11,1912,
31,30,70,82,67,77,56,1880,93,1909,0.00,0.00,0.21,1875,
32,31,70,80,67,77,58,1942,98,1955,0.00,0.00,0.14,1967,
33,Average:,73.0,83.3,67.0,76.5,,,,,Total: 0.02,Total: 0.02,,,
