,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020,KCZZ 09/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,89,52,94,36,1964,107,1950,0.00,0.01,0.25,1991,
3,2,54,94,51,93,30,1973,107,1982,0.00,0.02,0.33,1997,
4,3,57,99,51,93,38,1999,106,1982,0.00,0.01,0.68,1997,
5,4,55,103,51,93,39,2004,105,1955,0.00,0.02,1.57,1963,
6,5,65,108,51,93,31,1973,108,2020,0.00,0.01,0.18,1990,
7,6,66,109,51,93,37,2016,109,2020,0.00,0.01,1.00,2013,
8,7,62,99,51,92,38,1985,105,1955,0.00,0.01,0.57,2002,
9,8,55,79,50,92,33,1978,102,1993,0.00,0.01,0.09,1981,
10,9,60,85,50,92,33,1961,104,1993,0.00,0.02,0.21,2017,
11,10,48,84,50,92,33,2010,103,1997,0.00,0.01,2.47,1976,
12,11,50,86,50,91,34,1991,104,1990,0.00,0.01,0.44,1960,
13,12,47,92,50,91,30,1985,105,1990,0.00,0.01,0.24,1960,
14,13,47,93,49,91,33,2005,105,1971,0.00,0.01,0.33,1959,
15,14,50,96,49,90,32,1985,101,1951,0.00,0.01,0.00,2006,
16,15,51,95,49,90,32,1950,102,2000,0.00,0.01,0.14,2015,
17,16,53,96,49,90,33,1985,101,1951,0.00,0.01,0.22,1948,
18,17,49,99,49,89,33,1985,101,1951,0.00,0.01,0.14,1963,
19,18,56,100,48,89,29,1973,100,2020,0.00,0.01,0.98,2014,
20,19,54,95,48,89,29,1955,99,1962,0.00,0.01,0.59,1960,
21,20,52,92,48,88,33,1989,97,1979,0.00,0.01,0.91,2016,
22,21,53,93,48,88,33,1986,99,2003,0.00,0.01,0.09,2016,
23,22,50,90,47,88,32,1988,101,1982,0.00,0.01,0.37,1987,
24,23,46,91,47,87,35,2010,100,1992,0.00,0.01,0.11,1987,
25,24,49,91,47,87,35,2007,98,2002,0.00,0.01,0.29,1986,
26,25,43,89,47,87,35,1973,100,1989,0.00,0.01,0.95,1986,
27,26,47,91,46,86,36,1972,99,1989,0.00,0.01,0.39,1997,
28,27,47,93,46,86,34,1988,99,1992,0.00,0.01,0.31,1984,
29,28,47,97,46,85,29,1971,99,1994,0.00,0.01,0.05,1966,
30,29,55,99,46,85,34,1982,101,1999,0.00,0.02,0.25,1971,
31,30,56,100,46,85,30,1954,100,2020,0.00,0.01,0.30,1983,
32,Average:,52.6,94.2,48.8,89.6,,,,,Total: 0.00,Total: 0.34,,,
