,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020,KSDM 09/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,64,79,62,81,54,2010,108,1955,0.00,0.00,0.00,2006,
3,2,63,78,61,81,58,2010,107,1955,0.00,0.01,0.01,1945,
4,3,64,82,61,81,57,2010,100,2007,0.00,0.00,0.07,1998,
5,4,63,84,61,81,55,2010,95,2009,0.00,0.01,0.14,2019,
6,5,65,101,61,81,57,2010,103,2004,0.00,0.00,0.02,2011,
7,6,73,105,61,81,57,2016,105,2020,0.00,0.01,0.13,2011,
8,7,67,93,61,80,56,1956,94,1955,0.00,0.00,0.08,1957,
9,8,65,80,61,80,59,1956,94,2011,0.00,0.01,0.08,2017,
10,9,60,87,61,80,53,2010,99,2015,0.00,0.00,T,2017,
11,10,55,85,61,80,50,2010,96,2015,0.00,0.01,0.02,1960,
12,11,58,84,61,80,57,2010,97,1959,0.00,0.01,0.00,2006,
13,12,56,85,61,80,55,1957,96,2000,0.00,0.01,0.01,1959,
14,13,59,82,61,80,56,2010,91,2000,0.00,0.00,0.00,2006,
15,14,57,85,60,80,55,2016,91,2019,0.00,0.01,T,2015,
16,15,59,92,60,80,52,2016,95,2019,0.00,0.01,0.81,2015,
17,16,59,95,60,79,52,2006,101,2014,0.00,0.01,0.05,2015,
18,17,61,97,60,79,51,2010,97,2020,0.00,0.01,0.00,2006,
19,18,62,97,60,79,54,2011,97,2020,0.00,0.01,0.23,1960,
20,19,61,86,60,79,50,1955,86,2020,0.00,0.01,0.23,1960,
21,20,64,80,60,79,53,2010,99,2015,0.00,0.02,T,2007,
22,21,63,79,60,79,50,2007,85,2002,0.00,0.01,T,2015,
23,22,61,84,60,79,53,2010,89,2002,0.00,0.00,0.11,2007,
24,23,58,89,60,78,51,2010,99,2009,0.00,0.01,0.01,1958,
25,24,57,88,59,78,51,1945,90,2009,0.00,0.01,0.10,1958,
26,25,60,78,59,78,52,2017,96,2016,0.00,0.01,0.02,2019,
27,26,61,79,59,78,54,2017,99,2016,0.00,0.01,T,2019,
28,27,62,78,59,78,49,2013,108,2010,0.00,0.00,0.02,2019,
29,28,57,84,59,78,34,1945,92,2016,0.00,0.01,0.03,2007,
30,29,60,96,59,77,53,2019,96,2020,0.00,0.01,0.01,2008,
31,30,67,101,59,77,48,2019,101,2020,0.00,0.01,0.18,2010,
32,Average:,61.4,87.1,60.2,79.4,,,,,Total: 0.00,Total: 0.23,,,
