,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015,KSAN 06/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,71,61,69,52,1916,89,1879,0.00,0.00,0.25,1899,
3,2,62,72,61,69,51,1967,93,1879,0.00,0.01,0.05,1925,
4,3,62,68,61,69,51,1890,91,1919,0.00,0.00,0.13,1952,
5,4,61,67,61,69,50,1908,88,1898,0.00,0.01,0.12,1945,
6,5,61,69,61,69,52,1880,85,1890,0.00,0.00,0.38,1993,
7,6,62,71,61,69,52,1948,93,1890,0.00,0.00,0.29,1934,
8,7,63,72,61,70,53,1906,92,1890,0.00,0.01,0.07,1879,
9,8,64,74,61,70,52,1950,81,1890,0.00,0.00,0.07,1998,
10,9,66,82,61,70,54,1950,93,1877,0.00,0.00,0.38,1990,
11,10,65,70,61,70,52,1892,101,1979,0.00,0.01,0.49,1990,
12,11,64,70,61,70,51,1892,98,1979,T,0.00,0.26,1963,
13,12,63,68,62,70,50,1894,90,1979,T,0.00,0.14,1967,
14,13,63,70,62,70,50,1894,90,1979,T,0.00,0.15,1884,
15,14,64,70,62,71,50,1943,87,1917,0.00,0.01,0.10,1858,
16,15,65,73,62,71,52,1907,97,1981,0.00,0.00,0.13,1995,
17,16,62,70,62,71,54,1897,100,1981,0.00,0.00,0.17,1995,
18,17,62,73,62,71,52,1879,93,1957,0.00,0.00,0.14,1995,
19,18,63,75,62,71,54,1886,97,1957,0.00,0.00,0.08,1953,
20,19,62,77,62,71,53,1894,90,1957,0.00,0.01,0.02,1928,
21,20,64,72,62,71,53,1909,90,1973,0.00,0.00,0.28,1972,
22,21,65,75,63,72,54,1893,92,2008,0.00,0.00,0.01,1982,
23,22,65,77,63,72,55,1916,86,1978,0.00,0.00,0.04,1992,
24,23,65,80,63,72,53,1893,90,1978,0.00,0.00,0.01,1972,
25,24,67,74,63,72,53,1892,96,1931,0.00,0.01,0.03,1918,
26,25,67,75,63,72,54,1943,89,2000,0.00,0.00,0.03,1913,
27,26,67,77,63,72,52,1885,94,1990,0.00,0.00,0.01,1952,
28,27,67,76,63,73,52,1884,96,2006,T,0.00,0.02,1913,
29,28,69,78,63,73,56,1950,95,1980,0.00,0.00,0.06,1925,
30,29,69,78,64,73,56,1910,84,1980,0.00,0.00,0.16,1912,
31,30,67,79,64,73,54,1910,96,1985,0.04,0.00,T,1979,
32,Average:,64.3,73.4,62.0,70.8,,,,,Total: 0.04,Total: 0.07,,,
