,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009,KOKB 01/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,35,59,-99,-99,34,2004,79,2008,0.00,0.00,,undefined,
3,2,45,53,-99,-99,30,2001,78,2003,0.00,0.00,,undefined,
4,3,46,58,-99,-99,32,2000,83,2001,0.25,0.00,,undefined,
5,4,37,63,-99,-99,33,2000,77,2001,0.00,0.00,,undefined,
6,5,31,59,-99,-99,30,2000,85,2006,0.00,0.00,,undefined,
7,6,38,60,-99,-99,32,2000,88,2006,0.00,0.00,,undefined,
8,7,37,65,-99,-99,28,2000,83,2003,0.00,0.00,,undefined,
9,8,37,64,-99,-99,26,2000,78,2007,0.01,0.00,,undefined,
10,9,40,62,-99,-99,29,2000,83,2007,0.00,0.00,,undefined,
11,10,33,79,-99,-99,31,2000,79,2009,0.00,0.00,,undefined,
12,11,37,79,-99,-99,34,2006,79,2009,0.00,0.00,,undefined,
13,12,41,89,-99,-99,37,2007,89,2009,0.00,0.00,,undefined,
14,13,44,83,-99,-99,31,2007,83,2009,0.00,0.00,,undefined,
15,14,38,79,-99,-99,27,2007,79,2009,0.00,0.00,,undefined,
16,15,38,80,-99,-99,25,2007,80,2009,0.00,0.00,,undefined,
17,16,39,78,-99,-99,28,2007,83,2003,0.00,0.00,,undefined,
18,17,40,76,-99,-99,28,2007,81,2005,0.00,0.00,,undefined,
19,18,43,85,-99,-99,31,2007,85,2009,0.00,0.00,,undefined,
20,19,48,77,-99,-99,32,2008,87,2005,0.00,0.00,,undefined,
21,20,45,75,-99,-99,32,2008,76,2005,-0.88,0.00,,undefined,
22,21,50,74,-99,-99,31,2006,74,2009,0.00,0.00,,undefined,
23,22,50,73,-99,-99,29,2007,73,2009,-0.88,0.00,,undefined,
24,23,52,63,-99,-99,31,2007,77,2006,0.13,0.00,,undefined,
25,24,47,64,-99,-99,30,2002,77,2000,0.02,0.00,,undefined,
26,25,46,60,-99,-99,32,2002,81,2003,0.01,0.00,,undefined,
27,26,38,58,-99,-99,33,2007,84,2003,-0.88,0.00,,undefined,
28,27,36,64,-99,-99,36,2009,76,2003,0.00,0.00,,undefined,
29,28,33,66,-99,-99,33,2009,66,2009,0.00,0.00,,undefined,
30,29,34,82,-99,-99,33,2002,82,2009,0.00,0.00,,undefined,
31,30,38,78,-99,-99,30,2002,78,2009,0.00,0.00,,undefined,
32,31,37,74,-99,-99,28,2002,87,2003,0.00,0.00,,undefined,
33,Average:,40.4,70.3,-99.0,-99.0,,,,,Total: -2.22,Total: 0.00,,,
