,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019,KSAN 11/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,48,75,57,71,45,1916,97,1966,0.00,0.02,0.40,1859,
3,2,50,81,57,71,44,1886,90,1997,0.00,0.03,0.55,1850,
4,3,48,77,57,71,47,1946,93,2010,0.00,0.02,1.09,2015,
5,4,48,74,57,71,44,1935,100,2010,0.00,0.03,0.59,2011,
6,5,50,71,56,71,42,1881,92,1976,0.00,0.02,1.69,1905,
7,6,58,70,56,71,46,1935,90,1949,0.00,0.03,0.62,1905,
8,7,60,72,56,71,46,1925,89,1956,0.00,0.02,0.77,1931,
9,8,58,73,56,71,46,1881,93,1904,0.00,0.03,0.52,1946,
10,9,54,85,55,70,42,1881,96,2016,0.00,0.03,2.68,1879,
11,10,62,69,55,70,44,1919,91,1956,0.00,0.03,0.96,1949,
12,11,57,68,55,70,43,1915,88,2016,0.00,0.03,1.96,1944,
13,12,57,72,55,70,42,1938,91,1974,0.00,0.03,1.71,1941,
14,13,58,69,54,70,40,1880,89,1949,0.00,0.03,1.11,1950,
15,14,57,69,54,69,39,1916,87,1949,0.00,0.04,1.12,1944,
16,15,60,71,54,69,38,1964,89,2008,0.00,0.03,1.07,1965,
17,16,56,72,53,69,42,1958,86,2008,0.00,0.03,1.85,1860,
18,17,54,88,53,69,41,1958,88,2019,0.00,0.04,1.08,1986,
19,18,57,91,53,69,38,1881,91,2019,0.00,0.04,0.58,1973,
20,19,60,77,53,68,39,1994,85,1917,0.11,0.03,1.05,1852,
21,20,58,65,52,68,38,1964,86,1914,0.51,0.04,1.46,1963,
22,21,57,67,52,68,40,1941,86,1954,0.15,0.04,1.22,1967,
23,22,52,70,52,68,40,1931,92,2017,0.00,0.04,1.53,1965,
24,23,52,72,52,68,38,1931,87,2017,0.00,0.04,1.75,1887,
25,24,51,74,51,67,38,1931,87,1932,0.00,0.04,0.62,1984,
26,25,50,67,51,67,39,1906,89,1953,0.00,0.04,2.04,1985,
27,26,51,68,51,67,41,1880,85,1956,0.00,0.04,1.05,2008,
28,27,53,66,51,67,40,1948,85,2014,0.28,0.05,1.26,2008,
29,28,52,63,51,67,36,1919,82,1980,1.37,0.04,1.37,2019,
30,29,50,62,50,66,41,1919,86,1907,0.27,0.04,0.92,1970,
31,30,50,64,50,66,40,1931,85,1964,0.03,0.04,0.93,2007,
32,Average:,54.3,72.1,53.6,69.0,,,,,Total: 2.72,Total: 1.01,,,
