,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018,KSDM 08/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,70,88,62,79,55,2010,91,2000,0.00,0.00,0.01,2006,
3,2,69,86,62,79,58,2010,87,1959,0.00,0.01,0.02,2014,
4,3,67,84,62,79,56,1956,87,2009,0.00,0.00,0.03,1955,
5,4,79,82,62,79,53,1956,86,2009,0.00,0.00,0.00,2006,
6,5,81,86,62,79,55,1956,89,2015,0.00,0.01,0.00,2006,
7,6,M,M,62,79,57,1957,86,1955,M,0.00,0.00,2006,
8,7,73,91,62,79,56,2010,91,2018,0.00,0.00,0.00,2006,
9,8,81,93,62,79,56,2010,93,2018,0.00,0.00,0.00,2006,
10,9,M,90,62,79,53,2010,95,1999,0.00,0.00,0.00,2006,
11,10,79,91,62,80,57,2013,91,2018,0.00,0.00,0.00,2006,
12,11,79,88,62,80,54,2013,90,1998,0.00,0.01,0.00,2006,
13,12,75,84,62,80,57,2010,89,1998,0.00,0.00,0.00,2006,
14,13,72,82,62,80,58,2011,95,1998,0.00,0.00,0.00,2006,
15,14,69,82,62,80,59,2010,88,2015,0.00,0.00,0.22,1958,
16,15,69,81,62,80,57,2011,95,2016,0.00,0.00,0.00,2006,
17,16,68,82,62,80,56,2009,93,2015,T,0.00,T,2018,
18,17,70,83,62,80,59,2017,91,2016,0.00,0.00,0.00,2006,
19,18,70,83,62,80,60,2013,91,2010,0.00,0.00,0.00,2006,
20,19,69,82,62,80,60,2011,88,2010,0.00,0.00,0.00,2006,
21,20,68,83,62,80,58,2011,87,2007,0.00,0.00,0.00,2006,
22,21,69,82,62,80,57,1959,88,1998,0.00,0.00,0.00,2006,
23,22,68,83,62,80,59,2011,89,2009,0.00,0.00,T,2009,
24,23,68,81,62,81,57,2014,89,2006,0.00,0.00,0.00,2006,
25,24,65,80,62,81,60,1960,88,2010,0.00,0.01,0.03,1955,
26,25,63,80,62,81,59,1960,88,2009,0.00,0.01,0.02,1959,
27,26,M,M,62,81,59,2017,92,2009,0.00,0.01,T,2007,
28,27,M,M,62,81,58,2006,102,2009,0.00,0.01,0.00,2006,
29,28,M,M,62,81,54,2010,98,2009,0.00,0.01,0.00,2006,
30,29,70,82,62,81,57,2010,98,2009,0.00,0.00,0.00,2006,
31,30,59,84,62,81,55,2010,96,1998,0.00,0.01,T,2008,
32,31,58,81,62,81,52,2010,99,1955,0.00,0.01,0.00,2006,
33,Average:,70.3,84.2,62.0,80.0,,,,,Total: 0.00,Total: 0.10,,,
