,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018,KMYF 06/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,74,58,71,52,2011,78,2014,0.00,0.01,0.00,2005,
3,2,55,75,58,71,51,2011,85,2006,0.00,0.00,0.05,1999,
4,3,61,77,58,71,50,2011,92,2006,0.00,0.01,0.02,1999,
5,4,61,72,58,71,52,1999,81,2000,0.00,0.01,0.01,2008,
6,5,61,70,58,72,48,1999,82,2002,0.00,0.00,T,2009,
7,6,61,72,58,72,55,2012,82,2008,0.00,0.01,0.02,2011,
8,7,60,71,58,72,53,2007,78,2000,0.00,0.01,T,2009,
9,8,57,81,59,72,54,2007,83,2015,0.00,0.00,0.06,1998,
10,9,62,80,59,72,56,2004,85,2015,0.00,0.00,T,2011,
11,10,62,77,59,72,56,2004,77,2018,0.00,0.00,T,2011,
12,11,60,77,59,73,57,2017,77,2018,0.00,0.01,T,2010,
13,12,62,76,59,73,53,2017,76,2018,0.00,0.00,T,2009,
14,13,61,77,59,73,54,2017,79,2017,0.00,0.00,T,2009,
15,14,63,88,59,73,55,1998,88,2018,0.00,0.01,0.00,2006,
16,15,63,76,59,73,57,2010,85,2017,0.00,0.00,T,2009,
17,16,61,65,60,74,55,2010,88,2017,0.00,0.00,0.03,1998,
18,17,61,69,60,74,53,2010,87,2016,0.00,0.00,T,2015,
19,18,62,72,60,74,56,1998,91,2008,0.00,0.00,T,2016,
20,19,63,73,60,74,56,2005,96,2016,0.00,0.00,T,2005,
21,20,62,74,60,74,57,2010,100,2016,0.00,0.01,0.06,2003,
22,21,63,74,60,75,56,2010,99,2008,0.00,0.00,0.00,2006,
23,22,63,80,61,75,53,2010,90,2008,0.00,0.00,0.00,2006,
24,23,61,67,61,75,55,1999,81,2015,0.00,0.00,0.00,2006,
25,24,61,73,61,75,58,2012,80,2006,0.00,0.00,0.00,2006,
26,25,62,76,61,76,54,2003,91,2006,0.00,0.00,0.00,2006,
27,26,63,78,61,76,56,2012,94,2006,0.00,0.00,0.00,2006,
28,27,62,76,61,76,57,2002,98,2006,0.00,0.01,0.07,2006,
29,28,62,73,61,76,56,1999,90,2006,0.00,0.00,T,2005,
30,29,61,70,62,76,59,2012,91,2006,0.00,0.00,T,2009,
31,30,61,73,62,77,60,2011,89,2015,0.00,0.00,0.09,2015,
32,Average:,61.2,74.5,59.6,73.6,,,,,Total: 0.00,Total: 0.09,,,
