,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015,KSAN 07/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,69,81,64,73,56,1890,95,1985,0.01,0.00,0.03,1994,
3,2,66,79,64,73,56,1908,94,1985,0.00,0.00,0.05,1902,
4,3,68,76,64,74,57,1910,90,1981,0.00,0.00,0.02,1912,
5,4,67,74,64,74,54,1880,89,1957,0.00,0.00,T,2012,
6,5,66,72,64,74,55,1948,84,1981,0.00,0.00,0.01,1986,
7,6,66,71,64,74,57,1948,83,2014,0.00,0.00,0.03,1968,
8,7,64,72,65,74,56,1915,86,1954,T,0.00,0.02,1992,
9,8,66,72,65,74,57,1899,86,1984,T,0.00,0.08,1950,
10,9,67,73,65,74,57,1948,95,1985,0.00,0.01,T,1992,
11,10,66,76,65,74,57,1882,93,1959,0.00,0.00,0.09,1996,
12,11,65,75,65,74,58,1952,89,1959,0.00,0.00,0.04,2013,
13,12,66,76,65,74,55,1888,85,1983,0.00,0.00,T,2012,
14,13,66,78,65,75,55,1902,85,1984,0.00,0.00,T,2012,
15,14,66,73,65,75,55,1902,93,1911,0.00,0.00,0.16,1905,
16,15,66,75,65,75,56,1908,90,1984,0.00,0.00,0.07,1880,
17,16,66,76,66,75,54,1884,88,2003,0.00,0.00,0.05,1995,
18,17,67,77,66,75,56,1884,86,1984,0.00,0.00,0.12,1912,
19,18,64,82,66,75,56,1884,83,2004,1.03,0.00,1.03,2015,
20,19,73,88,66,75,58,1894,88,2015,0.66,0.01,0.66,2015,
21,20,70,77,66,75,57,1894,86,2005,T,0.00,0.20,1998,
22,21,69,80,66,75,57,1894,86,1877,0.01,0.00,0.02,1911,
23,22,72,80,66,75,59,1940,99,2006,0.00,0.00,0.09,1874,
24,23,71,79,66,75,58,1892,89,1960,0.00,0.00,0.01,2005,
25,24,71,80,66,75,56,1878,85,2006,0.00,0.00,0.01,2006,
26,25,69,82,66,75,57,1893,88,1891,0.00,0.00,0.83,1902,
27,26,68,78,66,75,59,1932,87,1977,0.00,0.00,0.05,1941,
28,27,68,75,66,75,58,1892,86,2006,0.00,0.00,0.13,1984,
29,28,67,77,66,75,59,1909,92,1972,0.00,0.01,0.10,1968,
30,29,69,78,66,75,57,1893,89,1972,0.00,0.00,0.14,1937,
31,30,71,80,67,76,56,1896,100,1930,0.00,0.00,0.01,1923,
32,31,70,79,67,76,58,1924,92,1930,0.00,0.00,0.23,1991,
33,Average:,67.7,77.1,65.4,74.6,,,,,Total: 1.71,Total: 0.03,,,
