,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016,KRNM 11/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,M,M,44,76,33,1979,96,1997,M,0.08,0.76,1987,
3,2,M,M,44,76,35,1996,95,1997,M,0.06,0.23,2015,
4,3,M,M,43,75,33,2004,93,2010,M,0.05,0.36,2015,
5,4,M,M,43,75,34,1990,94,1980,M,0.04,1.05,2011,
6,5,M,M,43,75,32,1994,93,2012,M,0.03,1.53,1987,
7,6,M,M,43,74,32,1994,92,2006,M,0.03,0.30,2011,
8,7,M,M,42,74,33,1994,92,2006,M,0.04,0.25,2004,
9,8,M,M,42,74,30,2011,91,1978,M,0.03,0.50,1998,
10,9,M,M,42,73,33,2010,92,1996,M,0.04,0.47,2008,
11,10,M,M,41,73,32,2010,89,1996,M,0.04,1.39,1982,
12,11,M,M,41,73,28,2012,86,1996,M,0.03,1.95,1985,
13,12,M,M,41,72,28,2000,92,1974,M,0.03,1.01,2011,
14,13,M,M,41,72,29,2000,92,2013,M,0.04,0.34,1997,
15,14,M,M,40,72,27,2000,90,2007,M,0.04,0.29,1993,
16,15,M,M,40,71,28,2000,87,2007,M,0.04,0.19,2015,
17,16,M,M,40,71,27,2000,87,2008,M,0.04,0.09,1994,
18,17,M,M,39,71,28,2015,90,2008,M,0.04,0.07,1986,
19,18,M,M,39,70,28,2000,88,2008,M,0.04,1.01,1986,
20,19,M,M,39,70,23,1994,91,2006,M,0.04,0.35,1982,
21,20,M,M,38,70,23,1994,88,2006,M,0.04,1.55,2010,
22,21,M,M,38,69,23,1994,87,2008,M,0.04,0.82,2004,
23,22,M,M,38,69,30,2011,85,2015,M,0.04,2.29,1996,
24,23,M,M,38,69,29,1999,89,1995,M,0.04,0.29,1984,
25,24,M,M,37,68,29,2003,91,1995,M,0.04,1.02,1978,
26,25,M,M,37,68,26,2010,92,1977,M,0.03,2.06,1985,
27,26,M,M,37,68,25,2010,93,1977,M,0.04,1.19,2008,
28,27,M,M,37,67,22,2010,90,1977,M,0.04,0.70,1981,
29,28,M,M,36,67,27,1994,91,1980,M,0.03,1.33,1975,
30,29,M,M,36,67,24,2010,88,1980,M,0.03,0.50,1981,
31,30,M,M,36,66,23,2004,85,1980,M,0.04,2.53,2007,
32,Average:,,,39.8,71.2,,,,,Total: 0.00,Total: 1.19,,,
