,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014,KOKB 11/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,69,48,72,40,2013,85,2005,0.40,0.07,0.40,2014,
3,2,49,68,47,72,40,2011,86,2011,0.04,0.06,0.04,2014,
4,3,46,74,47,72,39,2004,92,2010,0.00,0.06,0.03,2003,
5,4,40,77,47,72,40,2014,97,2010,0.00,0.04,0.40,2011,
6,5,41,83,46,72,39,2011,88,2012,0.00,0.04,0.01,2005,
7,6,47,89,46,72,38,2002,90,2006,0.00,0.04,0.33,2011,
8,7,47,88,46,71,38,2013,88,2014,0.00,0.04,0.04,2004,
9,8,45,83,46,71,37,2000,83,2014,0.00,0.04,0.94,2002,
10,9,45,71,45,71,36,2011,77,2011,0.00,0.04,0.07,2002,
11,10,56,71,45,71,38,2011,84,2013,0.00,0.05,0.10,2000,
12,11,60,71,45,71,37,2012,77,2010,0.00,0.03,0.02,2005,
13,12,53,71,45,71,34,2012,84,2002,T,0.02,0.98,2011,
14,13,55,71,44,70,34,2012,86,2013,0.00,0.03,0.08,2003,
15,14,52,70,44,70,34,2000,88,2013,0.06,0.02,0.06,2014,
16,15,49,71,44,70,36,2000,94,2008,0.00,0.03,0.07,2003,
17,16,47,80,44,70,35,2000,92,2008,0.00,0.03,0.06,2003,
18,17,45,76,43,70,34,2009,88,2008,0.00,0.02,0.02,2012,
19,18,38,77,43,69,32,2000,89,2005,0.00,0.03,0.14,1999,
20,19,38,72,43,69,34,2000,83,2003,0.00,0.03,T,2010,
21,20,42,70,43,69,35,2009,91,2002,T,0.03,0.60,2011,
22,21,50,68,43,69,41,2012,86,2002,0.21,0.03,0.36,2013,
23,22,44,70,42,69,39,2011,78,2005,0.00,0.04,0.04,2013,
24,23,46,73,42,68,33,2003,74,2003,0.00,0.02,0.02,2010,
25,24,42,88,42,68,31,1999,88,2014,0.00,0.03,0.56,2001,
26,25,36,79,42,68,34,2010,80,2009,0.00,0.03,0.06,2008,
27,26,40,82,42,68,33,2010,82,2014,0.00,0.03,0.97,2008,
28,27,44,86,42,68,28,2010,86,2014,0.00,0.02,0.52,2008,
29,28,39,80,41,67,35,2001,81,2007,0.00,0.03,0.21,2009,
30,29,35,73,41,67,30,2010,75,2011,0.00,0.02,0.32,2013,
31,30,52,71,41,67,30,2006,79,2009,0.00,0.03,2.69,2007,
32,Average:,45.9,75.7,44.0,69.8,,,,,Total: 0.71,Total: 1.03,,,
