,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020,KMYF 10/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,69,100,60,77,54,2019,100,2020,0.00,0.00,0.09,2002,
3,2,66,99,60,77,51,2002,99,2020,0.00,0.01,T,2009,
4,3,66,95,60,77,51,2002,96,2014,0.00,0.00,T,2017,
5,4,64,96,59,77,52,2002,96,2020,0.00,0.01,0.41,2015,
6,5,67,96,59,77,50,2009,96,2020,0.00,0.01,0.61,2011,
7,6,64,90,59,77,51,2009,94,2005,0.00,0.02,T,2006,
8,7,65,80,59,77,50,2011,97,2017,0.00,0.02,T,2006,
9,8,64,76,59,77,51,2011,97,2008,0.00,0.01,0.00,2006,
10,9,66,78,58,76,50,1998,101,2015,0.00,0.02,T,2007,
11,10,64,76,58,76,52,2013,99,2015,0.00,0.02,T,2005,
12,11,64,79,58,76,50,2013,98,2015,0.00,0.01,0.15,2012,
13,12,61,96,58,76,47,2008,97,2011,0.00,0.02,T,2009,
14,13,64,99,58,76,47,2008,99,2020,0.00,0.03,0.18,2007,
15,14,63,92,57,76,50,2013,94,2005,0.00,0.03,0.89,2006,
16,15,65,95,57,76,54,2013,100,2017,0.00,0.03,T,2006,
17,16,63,96,57,76,54,2008,100,2017,0.00,0.03,0.04,2005,
18,17,60,84,57,76,50,1998,98,2012,0.00,0.03,0.29,2005,
19,18,61,85,56,76,48,1998,85,2020,0.00,0.03,0.35,2004,
20,19,66,80,56,75,51,1998,89,1999,0.00,0.03,1.06,2010,
21,20,66,77,56,75,50,2013,94,2016,0.00,0.03,0.97,2004,
22,21,65,76,56,75,51,2013,95,2003,0.00,0.03,0.22,2012,
23,22,65,73,55,75,52,2004,97,2019,0.00,0.03,0.01,2006,
24,23,66,74,55,75,51,2004,102,2017,0.00,0.03,0.02,2010,
25,24,66,73,55,75,53,2012,105,2017,0.00,0.03,T,2006,
26,25,62,70,55,75,51,2012,104,2017,T,0.03,0.10,2010,
27,26,50,73,54,75,50,2020,94,2017,0.00,0.04,0.03,2002,
28,27,47,78,54,75,47,2020,91,2008,0.00,0.03,2.71,2004,
29,28,50,77,54,74,47,2011,90,2008,0.00,0.04,0.12,2004,
30,29,50,84,54,74,43,2009,88,2008,0.00,0.03,0.17,2013,
31,30,51,82,53,74,47,2009,88,1999,0.00,0.04,0.16,2010,
32,31,52,84,53,74,44,2019,89,2015,0.00,0.04,T,2015,
33,Average:,61.7,84.3,56.7,75.7,,,,,Total: 0.00,Total: 0.76,,,
