,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015,KRNM 04/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,50,74,40,68,29,1977,86,2011,0.00,0.04,1.09,1998,
3,2,46,74,40,68,30,2012,91,1985,0.00,0.04,0.59,1974,
4,3,35,84,40,68,28,1997,84,2015,0.00,0.04,0.42,1999,
5,4,40,82,40,68,32,2003,93,1989,0.00,0.04,0.76,2006,
6,5,38,71,40,68,32,2009,95,1989,0.00,0.04,0.45,2006,
7,6,37,64,40,68,30,2003,98,1989,0.00,0.03,0.51,1975,
8,7,37,64,40,69,33,2006,97,1989,T,0.04,0.68,2001,
9,8,40,67,41,69,34,2012,97,1989,0.05,0.05,1.26,1975,
10,9,36,74,41,69,31,2001,90,2014,0.00,0.05,0.72,1975,
11,10,38,71,41,69,28,1999,89,1988,0.00,0.04,0.58,2009,
12,11,39,73,41,69,30,1974,87,1988,0.00,0.05,0.38,1998,
13,12,39,77,41,69,33,1974,87,2008,0.00,0.05,1.07,1998,
14,13,42,79,41,70,31,2007,94,1985,0.00,0.04,1.19,1976,
15,14,46,77,41,70,31,1983,91,1985,0.00,0.06,1.18,2003,
16,15,39,81,42,70,31,2012,88,1987,0.00,0.05,0.70,1988,
17,16,42,79,42,70,33,2009,88,2011,0.00,0.06,0.79,1995,
18,17,37,83,42,70,30,1976,88,1999,0.00,0.05,0.54,2004,
19,18,37,80,42,71,31,2013,91,1999,0.00,0.05,1.37,1995,
20,19,39,78,42,71,31,2007,91,2009,0.00,0.05,0.38,1995,
21,20,43,72,42,71,34,2005,96,2009,0.00,0.06,1.35,1988,
22,21,49,67,43,71,33,1974,94,2009,0.00,0.05,0.90,2001,
23,22,45,65,43,71,34,2001,90,1987,0.00,0.06,0.56,2010,
24,23,44,63,43,71,31,2010,89,1996,0.01,0.05,0.42,1980,
25,24,52,57,43,72,35,1980,89,2001,0.15,0.05,0.42,1994,
26,25,52,63,43,72,34,1974,93,2004,0.28,0.05,0.28,2015,
27,26,48,69,44,72,32,1974,96,2004,0.00,0.05,0.78,1994,
28,27,42,83,44,72,34,1974,97,2004,0.00,0.05,0.48,1994,
29,28,41,91,44,72,35,1974,95,2008,0.00,0.04,1.16,2005,
30,29,46,93,44,73,36,1974,93,2015,0.00,0.04,0.68,1999,
31,30,49,92,45,73,36,2009,93,1996,0.00,0.03,0.14,1999,
32,Average:,42.3,74.9,41.8,70.1,,,,,Total: 0.49,Total: 1.40,,,
