,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020,KSDM 08/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,82,62,79,55,2010,91,2000,0.00,0.00,0.01,2006,
3,2,60,81,62,79,58,2010,87,1959,0.00,0.01,0.02,2014,
4,3,61,78,62,79,56,1956,87,2009,0.00,0.00,0.03,1955,
5,4,63,78,62,79,53,1956,86,2009,0.00,0.00,0.00,2006,
6,5,62,76,62,79,55,1956,89,2015,0.00,0.01,0.00,2006,
7,6,59,75,62,79,57,1957,86,1955,0.00,0.00,0.00,2006,
8,7,60,78,62,79,56,2010,91,2018,0.00,0.00,0.00,2006,
9,8,60,79,62,79,56,2010,93,2018,0.00,0.00,0.00,2006,
10,9,62,78,62,79,53,2010,95,1999,0.00,0.00,0.00,2006,
11,10,62,78,62,80,57,2013,91,2018,0.00,0.00,0.00,2006,
12,11,60,78,62,80,54,2013,90,1998,0.00,0.01,0.00,2006,
13,12,60,81,62,80,57,2010,89,1998,0.00,0.00,0.00,2006,
14,13,67,89,62,80,57,2019,95,1998,0.00,0.00,0.00,2006,
15,14,65,91,62,80,59,2019,91,2020,0.00,0.00,0.22,1958,
16,15,70,90,62,80,57,2011,95,2016,0.00,0.00,0.00,2006,
17,16,69,93,62,80,56,2009,93,2020,0.00,0.00,T,2018,
18,17,66,88,62,80,59,2017,91,2016,0.00,0.00,0.00,2006,
19,18,68,91,62,80,60,2013,91,2020,0.00,0.00,0.00,2006,
20,19,69,86,62,80,60,2011,88,2010,0.00,0.00,0.00,2006,
21,20,68,89,62,80,58,2011,89,2020,0.00,0.00,0.00,2006,
22,21,68,95,62,80,57,2019,95,2020,0.00,0.00,0.00,2006,
23,22,72,92,62,80,59,2011,92,2020,0.00,0.00,T,2009,
24,23,70,88,62,81,57,2014,89,2006,0.00,0.00,0.00,2006,
25,24,70,85,62,81,60,1960,88,2010,0.00,0.01,0.03,1955,
26,25,69,84,62,81,59,1960,91,2019,0.00,0.01,0.02,1959,
27,26,66,85,62,81,59,2017,92,2009,0.00,0.01,T,2007,
28,27,64,86,62,81,58,2006,102,2009,0.00,0.01,0.00,2006,
29,28,65,81,62,81,54,2010,98,2009,0.00,0.01,0.00,2006,
30,29,63,79,62,81,57,2010,98,2009,0.00,0.00,0.00,2006,
31,30,62,78,62,81,55,2010,96,1998,0.00,0.01,T,2008,
32,31,63,78,62,81,52,2010,99,1955,0.00,0.01,0.00,2006,
33,Average:,64.7,83.5,62.0,80.0,,,,,Total: 0.00,Total: 0.10,,,
