,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014,KSDM 12/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,50,73,44,68,37,2010,83,1959,T,0.06,0.39,1955,
3,2,58,70,44,67,41,2010,85,1959,0.44,0.05,0.54,1955,
4,3,60,67,44,67,40,2010,87,1958,0.29,0.06,0.29,2014,
5,4,55,68,43,67,35,2011,78,2007,0.36,0.05,0.36,2014,
6,5,52,68,43,67,38,2011,80,2000,0.00,0.06,0.44,1957,
7,6,56,70,43,67,33,1960,79,1959,0.00,0.05,0.22,1998,
8,7,51,80,43,67,31,1960,80,2014,0.00,0.05,1.92,2009,
9,8,53,72,43,67,33,1960,78,2006,0.00,0.05,0.20,2007,
10,9,51,77,43,66,29,1960,83,1957,0.00,0.05,0.25,1954,
11,10,49,70,43,66,34,1960,81,1958,0.00,0.05,0.36,1959,
12,11,53,69,43,66,37,2011,82,1958,0.00,0.05,0.15,1945,
13,12,51,62,43,66,38,2007,87,2010,0.89,0.04,0.89,2014,
14,13,47,63,43,66,37,2013,84,2010,0.05,0.04,0.42,2011,
15,14,43,65,43,66,37,2007,81,1958,0.00,0.05,0.03,1954,
16,15,45,66,43,66,37,2011,80,1958,0.00,0.05,1.13,2008,
17,16,50,60,43,66,39,1960,85,2013,0.17,0.06,0.25,2008,
18,17,49,64,43,66,38,1960,79,1999,0.45,0.06,1.70,2008,
19,18,49,64,43,66,36,2006,79,2009,0.00,0.06,0.04,2007,
20,19,45,66,43,66,34,2006,83,1954,0.00,0.06,0.16,2013,
21,20,46,65,43,66,36,2006,85,1954,0.00,0.07,0.49,2010,
22,21,50,67,43,66,36,2006,80,1954,0.00,0.08,1.14,2010,
23,22,46,75,43,66,37,2007,76,1960,0.00,0.06,1.61,2010,
24,23,48,80,43,66,31,2011,80,2014,0.00,0.06,0.08,1945,
25,24,50,76,43,66,35,2011,77,2013,0.00,0.07,0.81,1959,
26,25,44,65,43,66,37,2002,79,2013,T,0.06,0.31,2003,
27,26,44,65,43,66,37,2009,79,2013,0.00,0.07,0.03,2010,
28,27,39,62,43,66,34,2007,81,2013,0.00,0.08,0.15,2006,
29,28,35,62,43,66,33,1954,78,2011,0.00,0.09,1.01,2004,
30,29,40,63,43,66,29,1954,77,2000,0.00,0.09,1.05,2004,
31,30,48,59,43,66,34,1954,76,2013,0.12,0.10,T,2004,
32,31,36,51,43,66,34,2006,75,1958,0.28,0.09,0.28,2014,
33,Average:,48.2,67.2,43.1,66.3,,,,,Total: 3.05,Total: 1.92,,,
