,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016,KSAN 11/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,M,M,57,71,45,1916,97,1966,M,0.02,0.40,1859,
3,2,M,M,57,71,44,1886,90,1997,M,0.03,0.55,1850,
4,3,M,M,57,71,47,1946,93,2010,M,0.02,1.09,2015,
5,4,M,M,57,71,44,1935,100,2010,M,0.03,0.59,2011,
6,5,M,M,56,71,42,1881,92,1976,M,0.02,1.69,1905,
7,6,M,M,56,71,46,1935,90,1949,M,0.03,0.62,1905,
8,7,M,M,56,71,46,1925,89,1956,M,0.02,0.77,1931,
9,8,M,M,56,71,46,1881,93,1904,M,0.03,0.52,1946,
10,9,M,M,55,70,42,1881,96,1956,M,0.03,2.68,1879,
11,10,M,M,55,70,44,1919,91,1956,M,0.03,0.96,1949,
12,11,M,M,55,70,43,1915,86,1974,M,0.03,1.96,1944,
13,12,M,M,55,70,42,1938,91,1974,M,0.03,1.71,1941,
14,13,M,M,54,70,40,1880,89,1949,M,0.03,1.11,1950,
15,14,M,M,54,69,39,1916,87,1949,M,0.04,1.12,1944,
16,15,M,M,54,69,38,1964,89,2008,M,0.03,1.07,1965,
17,16,M,M,53,69,42,1958,86,2008,M,0.03,1.25,1965,
18,17,M,M,53,69,41,1958,88,1976,M,0.04,1.08,1986,
19,18,M,M,53,69,38,1881,86,1949,M,0.04,0.58,1973,
20,19,M,M,53,68,39,1994,85,1917,M,0.03,1.05,1852,
21,20,M,M,52,68,38,1964,86,1914,M,0.04,1.46,1963,
22,21,M,M,52,68,40,1941,86,1954,M,0.04,1.22,1967,
23,22,M,M,52,68,40,1931,84,2015,M,0.04,1.53,1965,
24,23,M,M,52,68,38,1931,86,1950,M,0.04,1.75,1887,
25,24,M,M,51,67,38,1931,87,1932,M,0.04,0.62,1984,
26,25,M,M,51,67,39,1906,89,1953,M,0.04,2.04,1985,
27,26,M,M,51,67,41,1880,85,1956,M,0.04,1.05,2008,
28,27,M,M,51,67,40,1948,85,2014,M,0.05,1.26,2008,
29,28,M,M,51,67,36,1919,82,1980,M,0.04,1.32,1981,
30,29,M,M,50,66,41,1919,86,1907,M,0.04,0.92,1970,
31,30,M,M,50,66,40,1931,85,1964,M,0.04,0.93,2007,
32,Average:,,,53.6,69.0,,,,,Total: 0.00,Total: 1.01,,,
