,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020,KCZZ 10/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,101,45,84,31,1982,101,2020,0.00,0.01,0.22,1959,
3,2,51,100,45,84,32,1971,102,1980,0.00,0.02,0.03,1983,
4,3,49,100,45,84,31,1973,103,1980,0.00,0.01,0.40,2010,
5,4,48,94,45,83,32,1957,101,1980,0.00,0.02,0.46,1966,
6,5,48,94,44,83,31,1982,97,1980,0.00,0.02,0.37,2011,
7,6,49,91,44,82,30,2009,98,1998,0.00,0.02,0.88,1977,
8,7,50,89,44,82,31,2006,97,1991,0.00,0.03,0.78,1983,
9,8,45,79,44,82,31,1975,99,1996,0.00,0.02,0.28,1961,
10,9,42,78,43,81,30,1961,97,1996,0.00,0.03,0.76,2013,
11,10,45,78,43,81,30,1973,94,1996,0.00,0.02,2.10,1986,
12,11,45,83,43,81,29,2008,97,1999,0.00,0.02,0.61,1987,
13,12,44,93,43,81,27,2008,97,1950,0.00,0.03,0.32,2012,
14,13,48,96,43,80,29,2000,98,1950,0.00,0.02,0.49,1987,
15,14,49,98,42,80,26,1981,98,2020,0.00,0.03,0.57,1957,
16,15,52,98,42,80,29,1966,98,2020,0.00,0.03,0.37,1964,
17,16,52,93,42,79,29,1966,95,1991,0.00,0.03,0.45,1971,
18,17,49,93,42,79,30,1980,95,2009,0.00,0.03,0.57,1971,
19,18,45,90,42,79,29,1998,93,2003,0.00,0.03,0.90,1948,
20,19,43,89,41,78,29,1969,96,2003,0.00,0.03,2.14,2010,
21,20,43,88,41,78,31,1969,94,2003,0.00,0.03,2.64,2004,
22,21,43,84,41,78,32,1950,95,2003,0.00,0.03,0.93,2015,
23,22,37,75,41,78,31,1966,96,2003,0.00,0.03,0.14,1976,
24,23,36,73,41,77,26,1996,93,2003,0.00,0.03,0.09,1987,
25,24,43,68,41,77,26,1961,95,1959,0.00,0.03,0.30,1987,
26,25,51,58,40,77,27,1975,92,2017,0.00,0.02,0.49,1951,
27,26,42,51,40,77,28,1970,95,1990,0.00,0.03,0.99,1996,
28,27,M,M,40,76,28,1996,91,2018,M,0.03,1.42,2004,
29,28,M,M,40,76,27,1989,92,1990,M,0.04,0.63,1974,
30,29,M,M,40,76,22,1971,90,1990,M,0.03,1.13,1974,
31,30,M,M,39,75,24,1971,87,1965,M,0.03,0.39,1951,
32,31,M,M,39,75,24,1971,90,1997,M,0.04,0.51,1987,
33,Average:,46.2,85.9,42.1,79.5,,,,,Total: 0.00,Total: 0.82,,,
