,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016,KCZZ 01/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,33,56,33,63,17,2015,82,1964,0.00,0.09,0.85,1982,
3,2,28,62,33,63,15,1976,79,1981,0.00,0.10,0.95,1971,
4,3,38,61,34,63,16,1960,82,1994,0.03,0.09,0.82,2005,
5,4,43,54,34,63,19,1993,81,2003,0.27,0.10,0.85,2005,
6,5,44,50,34,63,14,1970,81,2003,0.90,0.09,3.56,1995,
7,6,43,50,34,63,20,1968,88,2004,0.45,0.10,1.79,1993,
8,7,35,46,34,63,18,1973,89,2004,1.14,0.09,3.73,1993,
9,8,35,50,34,63,19,1951,84,2004,0.12,0.11,2.55,1993,
10,9,28,53,34,63,18,1951,82,2004,0.01,0.09,3.23,2005,
11,10,40,54,34,63,19,1964,83,2004,0.01,0.10,1.59,1978,
12,11,30,53,34,63,21,1954,88,2004,0.00,0.10,1.54,1980,
13,12,29,62,34,63,17,1962,84,2004,0.00,0.10,1.31,1951,
14,13,25,60,34,63,21,2013,77,1996,0.00,0.10,1.81,1997,
15,14,27,59,34,63,12,2007,83,2000,0.00,0.10,1.70,1993,
16,15,28,51,34,63,22,1964,84,1975,0.00,0.10,3.05,1978,
17,16,30,61,34,63,16,2007,82,1971,0.00,0.11,2.78,1993,
18,17,31,71,34,63,13,2007,82,1971,0.00,0.10,1.10,1990,
19,18,36,62,34,63,18,1963,83,1971,0.00,0.09,2.01,1988,
20,19,33,67,35,63,22,2002,81,1971,0.00,0.10,1.34,1954,
21,20,43,66,35,63,20,1973,77,1975,0.00,0.09,1.11,2010,
22,21,44,65,35,63,18,1966,78,1994,0.00,0.10,2.12,1962,
23,22,34,70,35,63,16,1966,79,1994,0.00,0.08,1.01,2010,
24,23,32,61,35,63,19,1966,77,2003,0.00,0.09,1.18,1967,
25,24,29,58,35,63,20,1991,77,1975,0.00,0.09,0.88,1969,
26,25,28,61,35,63,19,1963,82,1975,0.00,0.09,2.42,1969,
27,26,30,59,35,63,22,2002,81,2012,0.00,0.10,1.12,1995,
28,27,33,62,35,63,19,1979,75,2003,0.00,0.09,1.62,2008,
29,28,33,74,35,63,20,1959,80,1986,0.00,0.10,0.54,1957,
30,29,32,73,35,63,10,1979,79,2014,0.00,0.09,3.12,1980,
31,30,33,61,35,63,15,1975,84,1971,0.00,0.10,2.29,1980,
32,31,39,50,35,63,16,2002,79,2003,0.67,0.10,0.67,2016,
33,Average:,33.7,59.4,34.4,63.0,,,,,Total: 3.60,Total: 2.98,,,
