,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014,KCZZ 08/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,97,54,95,38,1956,105,1993,0.14,0.02,1.63,2005,
3,2,68,79,54,95,39,1985,104,1997,0.26,0.02,0.26,2014,
4,3,64,77,54,95,35,1956,106,1998,0.05,0.02,0.07,1997,
5,4,53,86,54,95,36,1962,107,1998,0.00,0.02,0.63,1955,
6,5,46,89,54,95,36,1962,105,1998,0.00,0.02,0.30,1955,
7,6,44,84,54,95,38,1999,105,1997,0.00,0.02,0.61,1987,
8,7,43,84,54,95,38,1976,105,1970,0.00,0.03,0.55,1963,
9,8,50,83,54,95,37,1976,107,1995,0.00,0.02,0.67,1994,
10,9,53,94,54,95,38,1951,105,1995,0.00,0.02,0.05,1998,
11,10,53,92,54,95,39,2010,105,1995,0.00,0.03,0.38,1984,
12,11,60,93,54,95,37,1988,104,2000,0.00,0.03,0.38,1971,
13,12,60,90,54,95,35,1950,106,1962,0.00,0.02,0.01,1983,
14,13,60,91,54,95,36,1985,106,1962,0.00,0.03,1.85,1992,
15,14,54,93,53,95,36,1954,106,1962,0.00,0.03,0.39,1983,
16,15,59,95,53,95,37,1999,104,1962,0.00,0.02,0.97,1970,
17,16,60,97,53,95,36,1993,106,1962,0.00,0.02,1.16,1970,
18,17,58,97,53,95,35,1975,103,1962,0.00,0.02,2.42,1983,
19,18,62,91,53,95,38,1976,105,1950,0.00,0.02,0.55,1957,
20,19,52,85,53,95,39,1985,105,1950,0.00,0.03,1.33,1984,
21,20,56,82,53,95,39,1989,105,1982,0.00,0.02,0.34,1988,
22,21,53,85,53,95,40,1954,102,1969,0.03,0.02,0.63,1995,
23,22,53,87,53,94,37,1968,103,1998,0.00,0.03,0.03,1982,
24,23,49,86,53,94,35,1989,105,1956,0.00,0.02,0.13,1988,
25,24,43,89,53,94,37,1978,106,1985,0.00,0.02,1.16,1988,
26,25,52,89,52,94,30,1978,107,1985,0.00,0.03,1.07,2008,
27,26,53,90,52,94,31,1973,104,1999,0.00,0.02,0.45,1982,
28,27,52,94,52,94,35,1954,105,1981,0.00,0.02,1.16,2003,
29,28,56,98,52,94,35,1973,106,1981,0.00,0.02,1.14,1951,
30,29,55,97,52,94,32,2010,105,1981,0.00,0.02,0.20,1951,
31,30,55,98,52,94,38,1962,104,1998,0.00,0.02,0.13,2012,
32,31,52,94,52,94,37,1979,105,1998,0.00,0.02,0.11,2007,
33,Average:,54.5,89.9,53.2,94.7,,,,,Total: 0.48,Total: 0.70,,,
