,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014,KMYF 07/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,64,76,62,77,58,2011,90,2006,0.00,0.00,T,2006,
3,2,65,79,62,77,59,2010,88,2006,0.00,0.01,0.00,2006,
4,3,64,81,62,77,58,1999,90,2003,0.00,0.00,0.00,2006,
5,4,66,81,62,77,59,2010,86,2003,0.00,0.00,0.00,2006,
6,5,69,86,63,78,60,2010,86,2014,0.00,0.00,0.00,2006,
7,6,68,87,63,78,60,2010,87,2014,0.00,0.01,0.00,2006,
8,7,66,83,63,78,58,2010,88,2011,0.00,0.00,0.00,2006,
9,8,66,80,63,78,60,2012,86,2006,0.00,0.00,0.00,2006,
10,9,66,80,63,78,60,2012,86,2006,0.00,0.00,0.00,2006,
11,10,67,82,63,78,60,2010,86,2009,0.00,0.00,T,2013,
12,11,67,79,63,79,61,2011,88,2009,0.00,0.00,T,2013,
13,12,66,78,63,79,61,2011,92,2009,0.00,0.00,T,2012,
14,13,66,76,64,79,60,1998,93,2009,0.00,0.01,0.00,2006,
15,14,66,77,64,79,60,1998,92,2006,T,0.00,T,2014,
16,15,67,71,64,79,59,1998,96,2006,0.00,0.00,T,2010,
17,16,67,78,64,79,59,1998,97,2010,0.00,0.00,0.01,2003,
18,17,67,78,64,79,58,2001,91,2009,0.00,0.00,0.00,2006,
19,18,64,78,64,79,60,2001,93,2009,0.00,0.01,0.01,2003,
20,19,66,74,64,79,61,2001,89,2009,0.00,0.00,0.01,2003,
21,20,68,78,64,79,60,2002,93,2005,0.00,0.00,0.00,2006,
22,21,67,81,64,79,61,2008,92,2005,0.00,0.00,T,2013,
23,22,67,80,64,80,60,2010,106,2006,0.00,0.00,0.00,2006,
24,23,65,86,64,80,61,2001,90,2006,0.00,0.00,0.00,2006,
25,24,66,88,64,80,61,2001,98,2006,0.00,0.01,T,2010,
26,25,68,81,64,80,62,2010,84,2009,T,0.00,T,2014,
27,26,66,82,65,80,62,2011,91,2006,0.00,0.00,T,2013,
28,27,68,87,65,80,61,2010,90,2007,0.05,0.00,0.05,2014,
29,28,69,90,65,80,60,2010,90,2014,0.02,0.00,T,2006,
30,29,70,91,65,80,58,2002,91,2014,0.00,0.01,0.02,2006,
31,30,68,86,65,80,61,1999,86,2014,0.00,0.00,0.01,2003,
32,31,68,87,65,80,61,2010,90,2000,0.00,0.00,0.24,2006,
33,Average:,66.7,81.3,63.7,78.9,,,,,Total: 0.07,Total: 0.06,,,
