,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016,KSDM 06/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,58,70,55,72,47,1955,78,2006,0.00,0.00,0.00,1960,
3,2,55,78,56,72,46,2011,83,2006,0.00,0.01,0.00,1960,
4,3,59,82,56,72,44,2011,90,1957,0.00,0.00,0.00,1960,
5,4,55,75,56,72,47,2011,86,1957,0.00,0.01,T,2008,
6,5,59,72,56,72,48,2011,78,2010,0.00,0.00,0.50,1945,
7,6,60,72,56,73,54,2011,84,2008,0.00,0.00,0.04,2011,
8,7,60,72,56,73,52,2011,76,2008,0.00,0.01,T,2009,
9,8,61,73,56,73,50,2007,81,2015,0.00,0.01,0.00,1960,
10,9,60,78,56,73,53,2008,86,2015,0.00,0.00,0.03,1957,
11,10,62,74,56,73,52,2007,75,2015,0.00,0.01,0.52,1957,
12,11,62,71,56,73,53,2013,79,1956,0.00,0.00,0.00,1960,
13,12,58,70,57,73,56,2010,86,1956,0.00,0.01,0.00,1960,
14,13,60,72,57,73,56,2010,83,1956,0.00,0.00,0.00,1960,
15,14,60,71,57,74,55,2009,85,2006,0.00,0.01,T,2009,
16,15,58,73,57,74,56,2010,81,2006,0.00,0.00,T,2009,
17,16,55,76,57,74,53,2010,85,2006,0.00,0.01,T,2009,
18,17,54,85,57,74,54,2016,93,1957,0.00,0.00,0.00,1960,
19,18,56,84,57,74,52,1955,96,1957,0.00,0.01,0.00,1960,
20,19,65,95,57,74,54,2014,95,2016,0.00,0.00,0.00,1960,
21,20,68,95,57,75,52,2007,96,2008,0.00,0.01,0.00,1960,
22,21,66,79,58,75,53,2010,97,2008,0.00,0.00,0.00,1960,
23,22,63,80,58,75,53,2010,93,2008,0.00,0.01,T,2011,
24,23,61,77,58,75,55,2007,86,2001,0.00,0.00,0.00,1960,
25,24,62,77,58,75,52,1955,79,2015,0.00,0.01,0.00,1960,
26,25,61,77,58,75,57,2010,93,2006,0.00,0.01,0.00,1960,
27,26,60,78,58,76,53,1956,95,2006,0.00,0.00,0.00,1960,
28,27,64,84,58,76,55,1958,102,2006,0.00,0.01,0.08,2006,
29,28,63,81,58,76,52,1960,88,2006,0.00,0.00,0.00,1960,
30,29,64,81,59,76,56,1959,88,2006,0.00,0.01,T,2009,
31,30,64,79,59,76,56,1955,91,2013,0.00,0.00,T,2015,
32,Average:,60.4,77.7,57.0,73.9,,,,,Total: 0.00,Total: 0.15,,,
