,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012,KSAN 06/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,66,61,69,52,1916,89,1879,0.00,0.00,0.25,1899,
3,2,59,65,61,69,51,1967,93,1879,0.00,0.01,0.05,1925,
4,3,61,66,61,69,51,1890,91,1919,0.00,0.00,0.13,1952,
5,4,61,66,61,69,50,1908,88,1898,0.00,0.01,0.12,1945,
6,5,61,69,61,69,52,1880,85,1890,0.00,0.00,0.38,1993,
7,6,60,72,61,69,52,1948,93,1890,0.00,0.00,0.29,1934,
8,7,61,68,61,70,53,1906,92,1890,0.00,0.01,0.07,1879,
9,8,61,67,61,70,52,1950,81,1890,0.00,0.00,0.07,1998,
10,9,60,65,61,70,54,1950,93,1877,0.00,0.00,0.38,1990,
11,10,60,66,61,70,52,1892,101,1979,0.00,0.01,0.49,1990,
12,11,61,67,61,70,51,1892,98,1979,0.00,0.00,0.26,1963,
13,12,60,67,62,70,50,1894,90,1979,0.00,0.00,0.14,1967,
14,13,59,65,62,70,50,1894,90,1979,0.00,0.00,0.15,1884,
15,14,61,66,62,71,50,1943,87,1917,0.00,0.01,0.10,1858,
16,15,60,66,62,71,52,1907,97,1981,0.00,0.00,0.13,1995,
17,16,63,68,62,71,54,1897,100,1981,0.00,0.00,0.17,1995,
18,17,61,72,62,71,52,1879,93,1957,0.00,0.00,0.14,1995,
19,18,63,71,62,71,54,1886,97,1957,T,0.00,0.08,1953,
20,19,61,70,62,71,53,1894,90,1957,0.00,0.01,0.02,1928,
21,20,60,68,62,71,53,1909,90,1973,0.00,0.00,0.28,1972,
22,21,63,70,63,72,54,1893,92,2008,0.00,0.00,0.01,1982,
23,22,62,71,63,72,55,1916,86,1978,0.00,0.00,0.04,1992,
24,23,62,70,63,72,53,1893,90,1978,0.00,0.00,0.01,1972,
25,24,62,72,63,72,53,1892,96,1931,0.00,0.01,0.03,1918,
26,25,63,72,63,72,54,1943,89,2000,0.00,0.00,0.03,1913,
27,26,60,76,63,72,52,1885,94,1990,0.00,0.00,0.01,1952,
28,27,63,73,63,73,52,1884,96,2006,0.00,0.00,0.02,1913,
29,28,62,73,63,73,56,1950,95,1980,0.00,0.00,0.06,1925,
30,29,62,73,64,73,56,1910,84,1980,0.00,0.00,0.16,1912,
31,30,64,72,64,73,54,1910,96,1985,0.00,0.00,T,1979,
32,Average:,61.2,69.1,62.0,70.8,,,,,Total: 0.00,Total: 0.07,,,
