,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012,KSAN 07/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,72,64,73,56,1890,95,1985,0.00,0.00,0.03,1994,
3,2,63,68,64,73,56,1908,94,1985,0.00,0.00,0.05,1902,
4,3,62,68,64,74,57,1910,90,1981,0.00,0.00,0.02,1912,
5,4,62,67,64,74,54,1880,89,1957,T,0.00,T,2001,
6,5,63,69,64,74,55,1948,84,1981,0.00,0.00,0.01,1986,
7,6,64,73,64,74,57,1948,83,1981,0.00,0.00,0.03,1968,
8,7,64,72,65,74,56,1915,86,1954,0.00,0.00,0.02,1992,
9,8,63,73,65,74,57,1899,86,1984,0.00,0.00,0.08,1950,
10,9,63,73,65,74,57,1948,95,1985,0.00,0.01,T,1992,
11,10,64,76,65,74,57,1882,93,1959,0.00,0.00,0.09,1996,
12,11,65,74,65,74,58,1952,89,1959,0.00,0.00,0.02,1880,
13,12,64,75,65,74,55,1888,85,1983,T,0.00,T,1976,
14,13,66,81,65,75,55,1902,85,1984,T,0.00,T,1990,
15,14,65,73,65,75,55,1902,93,1911,0.00,0.00,0.16,1905,
16,15,63,72,65,75,56,1908,90,1984,0.00,0.00,0.07,1880,
17,16,63,69,66,75,54,1884,88,2003,0.00,0.00,0.05,1995,
18,17,64,72,66,75,56,1884,86,1984,0.00,0.00,0.12,1912,
19,18,63,80,66,75,56,1884,83,2004,0.00,0.00,0.01,1922,
20,19,68,75,66,75,58,1894,87,1951,0.00,0.01,T,2005,
21,20,67,79,66,75,57,1894,86,2005,0.00,0.00,0.20,1998,
22,21,67,75,66,75,57,1894,86,1877,0.00,0.00,0.02,1911,
23,22,66,74,66,75,59,1940,99,2006,0.00,0.00,0.09,1874,
24,23,66,72,66,75,58,1892,89,1960,0.00,0.00,0.01,2005,
25,24,65,73,66,75,56,1878,85,2006,0.00,0.00,0.01,2006,
26,25,65,73,66,75,57,1893,88,1891,0.00,0.00,0.83,1902,
27,26,65,73,66,75,59,1932,87,1977,0.00,0.00,0.05,1941,
28,27,65,72,66,75,58,1892,86,2006,0.00,0.00,0.13,1984,
29,28,65,72,66,75,59,1909,92,1972,0.00,0.01,0.10,1968,
30,29,63,72,66,75,57,1893,89,1972,0.00,0.00,0.14,1937,
31,30,64,72,67,76,56,1896,100,1930,0.00,0.00,0.01,1923,
32,31,66,73,67,76,58,1924,92,1930,0.00,0.00,0.23,1991,
33,Average:,64.4,73.0,65.4,74.6,,,,,Total: 0.00,Total: 0.03,,,
