,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014,KSDM 03/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,64,46,67,37,1961,86,2013,0.60,0.13,0.92,1957,
3,2,50,63,46,67,37,2007,85,2013,0.09,0.15,0.24,2004,
4,3,44,67,46,67,40,1956,74,2013,0.00,0.14,0.06,1958,
5,4,52,65,46,67,41,2008,79,1959,0.00,0.13,0.61,2005,
6,5,49,70,46,67,34,1946,81,2007,0.00,0.14,0.67,2000,
7,6,55,73,46,67,39,2008,79,1955,0.00,0.13,1.21,1958,
8,7,52,68,46,67,39,1958,83,1955,0.00,0.13,0.55,2010,
9,8,49,81,46,67,40,1956,81,2014,0.00,0.12,0.84,2013,
10,9,50,85,46,67,42,2008,85,2014,0.00,0.10,0.29,1957,
11,10,51,81,46,67,40,2013,83,2008,0.00,0.09,0.32,2006,
12,11,45,69,46,67,40,2009,86,2007,0.00,0.08,0.51,2006,
13,12,52,70,46,67,40,2010,90,2007,0.00,0.08,0.12,1958,
14,13,52,65,46,67,37,1956,78,2007,0.00,0.07,0.08,1960,
15,14,48,69,46,67,40,2010,76,2013,0.00,0.06,0.00,1961,
16,15,48,81,46,67,35,1946,81,2014,0.00,0.06,0.11,1961,
17,16,54,91,46,67,40,2009,91,2014,0.00,0.06,0.65,1958,
18,17,48,79,46,67,37,1955,85,2010,0.00,0.07,0.17,2002,
19,18,54,69,46,67,39,2008,82,1960,0.00,0.07,0.09,2002,
20,19,49,69,46,67,39,1955,83,2001,0.00,0.06,0.26,2006,
21,20,49,71,46,67,43,1961,83,1959,0.00,0.06,0.55,2011,
22,21,57,66,46,67,40,1955,80,1959,0.00,0.05,0.37,2011,
23,22,56,67,46,67,39,1955,81,2008,0.00,0.04,0.23,2005,
24,23,57,68,46,67,38,2011,88,2008,0.00,0.05,0.34,2011,
25,24,58,69,47,67,40,2009,83,2008,0.00,0.04,0.20,1958,
26,25,56,64,47,67,42,1959,76,1955,0.00,0.05,0.50,1999,
27,26,54,64,47,67,42,1961,82,1946,0.02,0.04,0.05,1999,
28,27,49,65,47,67,43,1961,81,2010,0.01,0.05,0.58,1958,
29,28,48,69,47,67,40,2007,85,2010,0.00,0.05,0.74,1961,
30,29,48,74,47,67,40,1960,78,2003,0.00,0.06,0.14,2006,
31,30,50,68,47,67,44,1961,87,2003,0.00,0.04,0.04,2008,
32,31,44,66,47,67,42,2009,85,2011,0.00,0.05,0.52,1946,
33,Average:,51.0,70.6,46.3,67.0,,,,,Total: 0.72,Total: 2.45,,,
